REWARD_GROUP,REWARD_ID,REWARD_TYPE_1,REWARD_VALUE_1,REWARD_QTY_1,REWARD_TYPE_2,REWARD_VALUE_2,REWARD_QTY_2,REWARD_TYPE_3,REWARD_VALUE_3,REWARD_QTY_3,RANDOM_PICK_ID_1,RANDOM_PICK_ID_2
100010030,1,3,0,250000,100,1070001,130,100,234,5,0,0
100010030,2,3,0,250000,100,1020005,130,100,234,5,0,0
100010030,3,3,0,250000,100,1070001,130,100,234,5,0,0
100010031,1,3,0,250000,100,1110001,150,100,234,5,0,0
100010031,2,3,0,250000,100,1120001,150,100,234,5,0,0
100010031,3,3,0,250000,100,1110001,150,100,234,5,0,0
100010032,1,300,1154,1,307,2196,1,100,234,5,0,0
100010033,1,300,1155,1,300,1130,1,100,234,5,0,0
100010033,2,300,1155,1,300,1126,1,100,234,5,0,0
100010033,3,300,1155,1,300,1130,1,100,234,5,0,0
100010034,1,300,1155,1,300,1155,1,100,234,5,0,0
100010035,1,300,1155,1,300,1710,1,100,234,5,0,0
200010001,1,100,3981,1,100,234,100,0,0,0,0,0
200010002,1,100,1140002,500,100,234,100,0,0,0,0,0
200010003,1,100,1140003,500,100,234,100,0,0,0,0,0
200010004,1,100,1140001,500,100,234,100,0,0,0,0,0
200010005,1,307,2451,1,100,234,120,0,0,0,0,0
200010006,1,100,3705,1,100,234,120,0,0,0,0,0
200010007,1,100,3204,1,100,234,120,0,0,0,0,0
200010008,1,307,2308,1,100,234,120,0,0,0,0,0
200010009,1,300,13867,1,100,234,120,0,0,0,0,0
200010010,1,4,0,300,100,234,150,0,0,0,0,0
200010011,1,100,1330001,200,100,234,150,0,0,0,0,0
200010012,1,100,1330002,300,100,234,150,0,0,0,0,0
200010013,1,100,1330003,300,100,234,150,0,0,0,0,0
200010014,1,300,13672,1,100,234,150,0,0,0,0,0
200010015,1,100,3381,1,100,234,200,0,0,0,0,0
200010016,1,4,0,200,100,234,200,0,0,0,0,0
200010017,1,100,1330001,300,100,234,200,0,0,0,0,0
200010018,1,100,1330002,400,100,234,200,0,0,0,0,0
200010019,1,100,1330003,400,100,234,200,0,0,0,0,0
200010020,1,307,16001,1,100,234,250,0,0,0,0,0
200010021,1,4,0,300,100,234,250,0,0,0,0,0
200010022,1,307,16036,1,100,234,250,0,0,0,0,0
200010023,1,307,2309,1,100,234,250,0,0,0,0,0
200010024,1,307,2451,1,100,234,250,0,0,0,0,0
200010025,1,4,0,500,100,234,300,0,0,0,0,0
200010026,1,100,208,1,100,234,300,0,0,0,0,0
200010027,1,307,16112,1,100,234,300,0,0,0,0,0
200010028,1,300,13591,1,100,234,300,0,0,0,0,0
200010029,1,300,13098,1,100,234,300,0,0,0,0,0
200010030,1,100,3391,1,100,234,350,0,0,0,0,0
