STAGE_GROUP,STEP,PROB,STAGE_ID,BOSS_MOB_ID,MOB_ID_1,MOB_ID_2,MOB_ID_3,MOB_ID_4,MOB_ID_5
100010023,1,0,262332,510262332,518262332,601262332,698262332,0,0
100010023,2,0,262333,585262333,584262333,586262333,587262333,588262333,0
100010023,3,0,262337,627262337,606262337,607262337,608262337,614262337,0
100010024,1,0,252422,604252422,0,0,0,0,0
100010024,2,0,252423,613252423,508252423,0,0,0,0
100010024,3,0,252424,699252424,611252424,0,0,0,0
100010025,1,0,352540,686352540,683352540,684352540,700352540,687352540,685352540
100010026,1,0,252622,604252622,0,0,0,0,0
100010026,2,0,252626,524252626,0,0,0,0,0
100010026,3,0,252627,507252627,0,0,0,0,0
100010027,1,0,352741,701352741,643352741,644352741,702352741,703352741,642352741
100010028,1,0,262833,585262833,584262833,586262833,587262833,588262833,0
100010028,2,0,262835,621262835,501262835,553262835,572262835,0,0
100010028,3,0,262836,596262836,586262836,589262836,605262836,0,0
100010029,1,0,352942,705352942,704352942,706352942,709352942,707352942,708352942
100010030,1,0,353043,1088353043,1179353043,1085353043,1084353043,1087353043,583353043
100010030,2,0,353045,828353045,825353045,826353045,861353045,830353045,865353045
100010030,3,0,353047,848353047,732353047,591353047,792353047,721353047,656353047
100010031,1,0,263148,849263148,847263148,740263148,855263148,0,0
100010031,2,0,263149,850263149,856263149,771263149,862263149,0,0
100010031,3,0,263150,639263150,852263150,828263150,825263150,0,0
100010032,1,0,353252,831353252,691353252,692353252,827353252,696353252,811353252
100010033,1,0,253354,853253354,0,0,0,0,0
100010033,2,0,253355,1180253355,0,0,0,0,0
100010033,3,0,253356,655253356,0,0,0,0,0
100010034,1,0,233457,859233457,841233457,842233457,0,0,0
100010035,1,0,253528,632253528,0,0,0,0,0
