LEVEL,CRITICAL,CRITICAL_POWER,DODGE,ATTACK_SPEED,MOVE_SPEED,RECOVERY_RATE,FIRE_RESIST,COLD_RESIST,LIGHTNING_RESIST,POISON_RESIST,MIND_RESIST,ARMOR_PENETRATE,CROWD_CONTROL_TIME,SKILL_COOLTIME,CAPACITY_CONTROL,ADD_PENETRATE_DAMAGE
27,203,271,203,81,81,135,203,203,203,203,203,135,203,135,271,135
28,197,262,197,78,78,131,197,197,197,197,197,131,197,131,262,131
29,190,254,190,76,76,127,190,190,190,190,190,127,190,127,254,127
30,181,242,181,72,72,121,181,181,181,181,181,121,181,121,242,121
31,176,235,176,70,70,117,176,176,176,176,176,117,176,117,235,117
32,171,228,171,68,68,114,171,171,171,171,171,114,171,114,228,114
33,166,222,166,66,66,111,166,166,166,166,166,111,166,111,222,111
34,162,216,162,64,64,108,162,162,162,162,162,108,162,108,216,108
35,155,207,155,62,62,103,155,155,155,155,155,103,155,103,207,103
36,151,202,151,60,60,101,151,151,151,151,151,101,151,101,202,101
37,147,197,147,59,59,98,147,147,147,147,147,98,147,98,197,98
38,144,192,144,57,57,96,144,144,144,144,144,96,144,96,192,96
39,140,187,140,56,56,93,140,140,140,140,140,93,140,93,187,93
40,135,181,135,54,54,90,135,135,135,135,135,90,135,90,181,90
41,132,177,132,53,53,88,132,132,132,132,132,88,132,88,177,88
42,129,173,129,51,51,86,129,129,129,129,129,86,129,86,173,86
43,127,169,127,50,50,84,127,127,127,127,127,84,127,84,169,84
44,124,166,124,49,49,83,124,124,124,124,124,83,124,83,166,83
45,120,160,120,48,48,80,120,120,120,120,120,80,120,80,160,80
46,118,157,118,47,47,78,118,118,118,118,118,78,118,78,157,78
47,115,154,115,46,46,77,115,115,115,115,115,77,115,77,154,77
48,113,151,113,45,45,75,113,113,113,113,113,75,113,75,151,75
49,111,148,111,44,44,74,111,111,111,111,111,74,111,74,148,74
50,108,144,108,43,43,72,108,108,108,108,108,72,108,72,144,72
51,104,139,104,41,41,69,104,104,104,104,104,69,104,69,139,69
52,100,134,100,40,40,67,100,100,100,100,100,67,100,67,134,67
53,96,129,96,38,38,64,96,96,96,96,96,64,96,64,129,64
54,93,124,93,37,37,62,93,93,93,93,93,62,93,62,124,62
55,90,120,90,36,36,60,90,90,90,90,90,60,90,60,120,60
56,86,115,86,34,34,57,86,86,86,86,86,57,86,57,115,57
57,83,111,83,33,33,55,83,83,83,83,83,55,83,55,111,55
58,80,107,80,32,32,53,80,80,80,80,80,53,80,53,107,53
59,77,103,77,30,30,51,77,77,77,77,77,51,77,51,103,51
60,75,100,75,30,30,50,75,75,75,75,75,50,75,50,100,50
61,74,99,74,29,29,49,74,74,74,74,74,49,74,49,99,49
62,73,97,73,29,29,48,73,73,73,73,73,48,73,48,97,48
63,72,96,72,29,29,48,72,72,72,72,72,48,72,48,96,48
64,71,95,71,28,28,47,71,71,71,71,71,47,71,47,95,47
65,70,94,70,28,28,47,70,70,70,70,70,47,70,47,94,47
66,69,93,69,27,27,46,69,69,69,69,69,46,69,46,93,46
67,69,92,69,27,27,46,69,69,69,69,69,46,69,46,92,46
68,68,91,68,27,27,45,68,68,68,68,68,45,68,45,91,45
69,67,90,67,27,27,45,67,67,67,67,67,45,67,45,90,45
70,66,89,66,26,26,44,66,66,66,66,66,44,66,44,89,44
71,66,88,66,26,26,44,66,66,66,66,66,44,66,44,88,44
72,65,87,65,26,26,43,65,65,65,65,65,43,65,43,87,43
73,64,86,64,25,25,43,64,64,64,64,64,43,64,43,86,43
74,63,85,63,25,25,42,63,63,63,63,63,42,63,42,85,42
75,63,84,63,25,25,42,63,63,63,63,63,42,63,42,84,42
76,62,83,62,25,25,41,62,62,62,62,62,41,62,41,83,41
77,61,82,61,24,24,41,61,61,61,61,61,41,61,41,82,41
78,61,81,61,24,24,40,61,61,61,61,61,40,61,40,81,40
79,60,80,60,24,24,40,60,60,60,60,60,40,60,40,80,40
80,60,80,60,24,24,40,60,60,60,60,60,40,60,40,80,40
81,59,79,59,23,23,39,59,59,59,59,59,39,59,39,79,39
82,58,78,58,23,23,39,58,58,58,58,58,39,58,39,78,39
83,58,77,58,23,23,38,58,58,58,58,58,38,58,38,77,38
84,57,76,57,23,23,38,57,57,57,57,57,38,57,38,76,38
85,57,76,57,22,22,38,57,57,57,57,57,38,57,38,76,38
86,56,75,56,22,22,37,56,56,56,56,56,37,56,37,75,37
87,56,74,56,22,22,37,56,56,56,56,56,37,56,37,74,37
88,55,74,55,22,22,37,55,55,55,55,55,37,55,37,74,37
89,55,73,55,22,22,36,55,55,55,55,55,36,55,36,73,36
90,54,72,54,21,21,36,54,54,54,54,54,36,54,36,72,36
91,54,72,54,21,21,36,54,54,54,54,54,36,54,36,72,36
92,53,71,53,21,21,35,53,53,53,53,53,35,53,35,71,35
93,53,70,53,21,21,35,53,53,53,53,53,35,53,35,70,35
94,52,70,52,21,21,35,52,52,52,52,52,35,52,35,70,35
95,52,69,52,20,20,34,52,52,52,52,52,34,52,34,69,34
96,51,68,51,20,20,34,51,51,51,51,51,34,51,34,68,34
97,51,68,51,20,20,34,51,51,51,51,51,34,51,34,68,34
98,50,67,50,20,20,33,50,50,50,50,50,33,50,33,67,33
99,50,67,50,20,20,33,50,50,50,50,50,33,50,33,67,33
100,49,66,49,19,19,33,49,49,49,49,49,33,49,33,66,33
