FACTION_EVENT_ID,REWARD_ID,REWARD_GROUP_ID,REWARD_FACTION_TYPE,REWARD_FACTION_MIN,REWARD_FACTION_MAX
10,178,90074,6,0,6300
10,179,90075,6,0,6600
10,180,90076,6,0,6900
10,181,90077,6,0,7200
10,182,90078,6,0,7500
10,183,90079,7,0,300
10,184,90080,7,0,600
10,185,90081,7,0,900
10,186,90082,7,0,1200
10,187,90083,7,0,1500
10,188,90084,7,0,1800
10,189,90085,7,0,2100
10,190,90086,7,0,2400
10,191,90087,7,0,2700
10,192,90088,7,0,3000
10,193,90089,7,0,3300
10,194,90090,7,0,3600
10,195,90091,7,0,3900
10,196,90092,7,0,4200
10,197,90093,7,0,4500
10,198,90094,7,0,4800
10,199,90095,7,0,5100
10,200,90096,7,0,5400
10,201,90097,7,0,5700
10,202,90098,7,0,6000
10,203,90099,7,0,6300
10,204,90100,7,0,6600
10,205,90101,7,0,6900
10,206,90102,7,0,7200
10,207,90103,7,0,7500
10,208,90104,2,0,0
10,209,90105,3,0,0
10,210,90106,5,1,1
11,211,90107,6,0,300
11,212,90108,6,0,600
11,213,90109,6,0,900
11,214,90110,6,0,1200
11,215,90111,6,0,1500
11,216,90112,6,0,1800
11,217,90113,6,0,2100
11,218,90114,6,0,2400
11,219,90115,6,0,2700
11,220,90116,6,0,3000
11,221,90117,6,0,3300
11,222,90118,6,0,3600
11,223,90119,6,0,3900
11,224,90120,6,0,4200
11,225,90121,6,0,4500
11,226,90122,6,0,4800
11,227,90123,6,0,5100
11,228,90124,6,0,5400
11,229,90125,6,0,5700
11,230,90126,6,0,6000
11,231,90127,6,0,6300
11,232,90128,6,0,6600
11,233,90129,6,0,6900
11,234,90130,6,0,7200
11,235,90131,6,0,7500
11,236,90132,7,0,300
11,237,90133,7,0,600
11,238,90134,7,0,900
11,239,90135,7,0,1200
11,240,90136,7,0,1500
11,241,90137,7,0,1800
11,242,90138,7,0,2100
11,243,90139,7,0,2400
11,244,90140,7,0,2700
11,245,90141,7,0,3000
11,246,90142,7,0,3300
11,247,90143,7,0,3600
11,248,90144,7,0,3900
11,249,90145,7,0,4200
11,250,90146,7,0,4500
11,251,90147,7,0,4800
11,252,90148,7,0,5100
11,253,90149,7,0,5400
11,254,90150,7,0,5700
11,255,90151,7,0,6000
11,256,90152,7,0,6300
11,257,90153,7,0,6600
11,258,90154,7,0,6900
11,259,90155,7,0,7200
11,260,90156,7,0,7500
11,261,90157,2,0,0
11,262,90158,3,0,0
11,263,90159,5,1,1
12,264,90160,6,0,300
12,265,90161,6,0,600
12,266,90162,6,0,900
12,267,90163,6,0,1200
12,268,90164,6,0,1500
12,269,90165,6,0,1800
12,270,90166,6,0,2100
12,271,90167,6,0,2400
12,272,90168,6,0,2700
12,273,90169,6,0,3000
12,274,90170,6,0,3300
12,275,90171,6,0,3600
12,276,90172,6,0,3900
12,277,90173,6,0,4200
12,278,90174,6,0,4500
12,279,90175,6,0,4800
12,280,90176,6,0,5100
12,281,90177,6,0,5400
12,282,90178,6,0,5700
12,283,90179,6,0,6000
12,284,90180,6,0,6300
12,285,90181,6,0,6600
12,286,90182,6,0,6900
12,287,90183,6,0,7200
12,288,90184,6,0,7500
12,289,90185,7,0,300
12,290,90186,7,0,600
12,291,90187,7,0,900
12,292,90188,7,0,1200
12,293,90189,7,0,1500
12,294,90190,7,0,1800
12,295,90191,7,0,2100
12,296,90192,7,0,2400
12,297,90193,7,0,2700
12,298,90194,7,0,3000
12,299,90195,7,0,3300
12,300,90196,7,0,3600
12,301,90197,7,0,3900
12,302,90198,7,0,4200
12,303,90199,7,0,4500
12,304,90200,7,0,4800
12,305,90201,7,0,5100
12,306,90202,7,0,5400
12,307,90203,7,0,5700
12,308,90204,7,0,6000
12,309,90205,7,0,6300
12,310,90206,7,0,6600
12,311,90207,7,0,6900
12,312,90208,7,0,7200
12,313,90209,7,0,7500
12,314,90210,2,0,0
12,315,90211,3,0,0
12,316,90212,5,1,1
13,317,90213,6,0,300
13,318,90214,6,0,600
13,319,90215,6,0,900
13,320,90216,6,0,1200
13,321,90217,6,0,1500
13,322,90218,6,0,1800
13,323,90219,6,0,2100
13,324,90220,6,0,2400
13,325,90221,6,0,2700
13,326,90222,6,0,3000
13,327,90223,6,0,3300
13,328,90224,6,0,3600
13,329,90225,6,0,3900
13,330,90226,6,0,4200
13,331,90227,6,0,4500
13,332,90228,6,0,4800
13,333,90229,6,0,5100
13,334,90230,6,0,5400
13,335,90231,6,0,5700
13,336,90232,6,0,6000
13,337,90233,6,0,6300
13,338,90234,6,0,6600
13,339,90235,6,0,6900
13,340,90236,6,0,7200
13,341,90237,6,0,7500
13,342,90238,7,0,300
13,343,90239,7,0,600
13,344,90240,7,0,900
13,345,90241,7,0,1200
13,346,90242,7,0,1500
13,347,90243,7,0,1800
13,348,90244,7,0,2100
13,349,90245,7,0,2400
13,350,90246,7,0,2700
13,351,90247,7,0,3000
13,352,90248,7,0,3300
13,353,90249,7,0,3600
13,354,90250,7,0,3900
13,355,90251,7,0,4200
13,356,90252,7,0,4500
13,357,90253,7,0,4800
13,358,90254,7,0,5100
13,359,90255,7,0,5400
13,360,90256,7,0,5700
13,361,90257,7,0,6000
13,362,90258,7,0,6300
13,363,90259,7,0,6600
13,364,90260,7,0,6900
13,365,90261,7,0,7200
13,366,90262,7,0,7500
13,367,90263,2,0,0
13,368,90264,3,0,0
13,369,90265,5,1,1
14,370,90266,6,0,300
14,371,90267,6,0,600
14,372,90268,6,0,900
14,373,90269,6,0,1200
14,374,90270,6,0,1500
14,375,90271,6,0,1800
14,376,90272,6,0,2100
14,377,90273,6,0,2400
14,378,90274,6,0,2700
14,379,90275,6,0,3000
14,380,90276,6,0,3300
14,381,90277,6,0,3600
14,382,90278,6,0,3900
14,383,90279,6,0,4200
14,384,90280,6,0,4500
14,385,90281,6,0,4800
14,386,90282,6,0,5100
14,387,90283,6,0,5400
14,388,90284,6,0,5700
14,389,90285,6,0,6000
14,390,90286,6,0,6300
14,391,90287,6,0,6600
14,392,90288,6,0,6900
14,393,90289,6,0,7200
14,394,90290,6,0,7500
14,395,90291,7,0,300
14,396,90292,7,0,600
14,397,90293,7,0,900
14,398,90294,7,0,1200
14,399,90295,7,0,1500
14,400,90296,7,0,1800
14,401,90297,7,0,2100
14,402,90298,7,0,2400
14,403,90299,7,0,2700
14,404,90300,7,0,3000
14,405,90301,7,0,3300
14,406,90302,7,0,3600
14,407,90303,7,0,3900
14,408,90304,7,0,4200
14,409,90305,7,0,4500
14,410,90306,7,0,4800
14,411,90307,7,0,5100
14,412,90308,7,0,5400
14,413,90309,7,0,5700
14,414,90310,7,0,6000
14,415,90311,7,0,6300
14,416,90312,7,0,6600
14,417,90313,7,0,6900
14,418,90314,7,0,7200
14,419,90315,7,0,7500
14,420,90316,2,0,0
14,421,90317,3,0,0
14,422,90318,5,1,1
15,423,90319,6,0,300
15,424,90320,6,0,600
15,425,90321,6,0,900
15,426,90322,6,0,1200
15,427,90323,6,0,1500
15,428,90324,6,0,1800
15,429,90325,6,0,2100
15,430,90326,6,0,2400
15,431,90327,6,0,2700
15,432,90328,6,0,3000
15,433,90329,6,0,3300
15,434,90330,6,0,3600
15,435,90331,6,0,3900
15,436,90332,6,0,4200
15,437,90333,6,0,4500
15,438,90334,6,0,4800
15,439,90335,6,0,5100
15,440,90336,6,0,5400
15,441,90337,6,0,5700
15,442,90338,6,0,6000
15,443,90339,6,0,6300
15,444,90340,6,0,6600
15,445,90341,6,0,6900
15,446,90342,6,0,7200
15,447,90343,6,0,7500
15,448,90344,7,0,300
15,449,90345,7,0,600
15,450,90346,7,0,900
15,451,90347,7,0,1200
15,452,90348,7,0,1500
15,453,90349,7,0,1800
15,454,90350,7,0,2100
15,455,90351,7,0,2400
15,456,90352,7,0,2700
15,457,90353,7,0,3000
15,458,90354,7,0,3300
15,459,90355,7,0,3600
15,460,90356,7,0,3900
15,461,90357,7,0,4200
15,462,90358,7,0,4500
15,463,90359,7,0,4800
15,464,90360,7,0,5100
15,465,90361,7,0,5400
15,466,90362,7,0,5700
15,467,90363,7,0,6000
15,468,90364,7,0,6300
15,469,90365,7,0,6600
15,470,90366,7,0,6900
15,471,90367,7,0,7200
15,472,90368,7,0,7500
15,473,90369,2,0,0
15,474,90370,3,0,0
15,475,90371,5,1,1
16,476,90372,6,0,300
16,477,90373,6,0,600
16,478,90374,6,0,900
16,479,90375,6,0,1200
16,480,90376,6,0,1500
16,481,90377,6,0,1800
16,482,90378,6,0,2100
16,483,90379,6,0,2400
16,484,90380,6,0,2700
16,485,90381,6,0,3000
16,486,90382,6,0,3300
16,487,90383,6,0,3600
16,488,90384,6,0,3900
16,489,90385,6,0,4200
16,490,90386,6,0,4500
16,491,90387,6,0,4800
16,492,90388,6,0,5100
16,493,90389,6,0,5400
16,494,90390,6,0,5700
16,495,90391,6,0,6000
16,496,90392,6,0,6300
16,497,90393,6,0,6600
16,498,90394,6,0,6900
16,499,90395,6,0,7200
16,500,90396,6,0,7500
16,501,90397,7,0,300
16,502,90398,7,0,600
16,503,90399,7,0,900
16,504,90400,7,0,1200
16,505,90401,7,0,1500
16,506,90402,7,0,1800
16,507,90403,7,0,2100
16,508,90404,7,0,2400
16,509,90405,7,0,2700
16,510,90406,7,0,3000
16,511,90407,7,0,3300
16,512,90408,7,0,3600
16,513,90409,7,0,3900
16,514,90410,7,0,4200
16,515,90411,7,0,4500
16,516,90412,7,0,4800
16,517,90413,7,0,5100
16,518,90414,7,0,5400
16,519,90415,7,0,5700
16,520,90416,7,0,6000
16,521,90417,7,0,6300
16,522,90418,7,0,6600
16,523,90419,7,0,6900
16,524,90420,7,0,7200
16,525,90421,7,0,7500
16,526,90422,2,0,0
16,527,90423,3,0,0
16,528,90424,5,1,1
17,529,90425,6,0,300
17,530,90426,6,0,600
17,531,90427,6,0,900
17,532,90428,6,0,1200
17,533,90429,6,0,1500
17,534,90430,6,0,1800
17,535,90431,6,0,2100
17,536,90432,6,0,2400
17,537,90433,6,0,2700
17,538,90434,6,0,3000
17,539,90435,6,0,3300
17,540,90436,6,0,3600
17,541,90437,6,0,3900
17,542,90438,6,0,4200
17,543,90439,6,0,4500
17,544,90440,6,0,4800
17,545,90441,6,0,5100
17,546,90442,6,0,5400
17,547,90443,6,0,5700
17,548,90444,6,0,6000
17,549,90445,6,0,6300
17,550,90446,6,0,6600
17,551,90447,6,0,6900
17,552,90448,6,0,7200
17,553,90449,6,0,7500
17,554,90450,7,0,300
17,555,90451,7,0,600
17,556,90452,7,0,900
17,557,90453,7,0,1200
17,558,90454,7,0,1500
17,559,90455,7,0,1800
17,560,90456,7,0,2100
17,561,90457,7,0,2400
17,562,90458,7,0,2700
17,563,90459,7,0,3000
17,564,90460,7,0,3300
17,565,90461,7,0,3600
17,566,90462,7,0,3900
17,567,90463,7,0,4200
17,568,90464,7,0,4500
17,569,90465,7,0,4800
17,570,90466,7,0,5100
17,571,90467,7,0,5400
17,572,90468,7,0,5700
17,573,90469,7,0,6000
17,574,90470,7,0,6300
17,575,90471,7,0,6600
17,576,90472,7,0,6900
17,577,90473,7,0,7200
17,578,90474,7,0,7500
17,579,90475,2,0,0
17,580,90476,3,0,0
17,581,90477,5,1,1
18,582,90478,6,0,300
18,583,90479,6,0,600
18,584,90480,6,0,900
18,585,90481,6,0,1200
18,586,90482,6,0,1500
18,587,90483,6,0,1800
18,588,90484,6,0,2100
18,589,90485,6,0,2400
18,590,90486,6,0,2700
18,591,90487,6,0,3000
18,592,90488,6,0,3300
18,593,90489,6,0,3600
18,594,90490,6,0,3900
18,595,90491,6,0,4200
18,596,90492,6,0,4500
18,597,90493,6,0,4800
18,598,90494,6,0,5100
18,599,90495,6,0,5400
18,600,90496,6,0,5700
18,601,90497,6,0,6000
18,602,90498,6,0,6300
18,603,90499,6,0,6600
18,604,90500,6,0,6900
18,605,90501,6,0,7200
18,606,90502,6,0,7500
18,607,90503,7,0,300
18,608,90504,7,0,600
18,609,90505,7,0,900
18,610,90506,7,0,1200
18,611,90507,7,0,1500
18,612,90508,7,0,1800
18,613,90509,7,0,2100
18,614,90510,7,0,2400
18,615,90511,7,0,2700
18,616,90512,7,0,3000
18,617,90513,7,0,3300
18,618,90514,7,0,3600
18,619,90515,7,0,3900
18,620,90516,7,0,4200
18,621,90517,7,0,4500
18,622,90518,7,0,4800
18,623,90519,7,0,5100
18,624,90520,7,0,5400
18,625,90521,7,0,5700
18,626,90522,7,0,6000
18,627,90523,7,0,6300
18,628,90524,7,0,6600
18,629,90525,7,0,6900
18,630,90526,7,0,7200
18,631,90527,7,0,7500
18,632,90528,2,0,0
18,633,90529,3,0,0
18,634,90530,5,1,1
19,635,90531,6,0,300
19,636,90532,6,0,600
19,637,90533,6,0,900
19,638,90534,6,0,1200
19,639,90535,6,0,1500
19,640,90536,6,0,1800
19,641,90537,6,0,2100
19,642,90538,6,0,2400
19,643,90539,6,0,2700
19,644,90540,6,0,3000
19,645,90541,6,0,3300
19,646,90542,6,0,3600
19,647,90543,6,0,3900
19,648,90544,6,0,4200
19,649,90545,6,0,4500
19,650,90546,6,0,4800
19,651,90547,6,0,5100
19,652,90548,6,0,5400
19,653,90549,6,0,5700
19,654,90550,6,0,6000
19,655,90551,6,0,6300
19,656,90552,6,0,6600
19,657,90553,6,0,6900
19,658,90554,6,0,7200
19,659,90555,6,0,7500
19,660,90556,7,0,300
19,661,90557,7,0,600
19,662,90558,7,0,900
19,663,90559,7,0,1200
19,664,90560,7,0,1500
19,665,90561,7,0,1800
19,666,90562,7,0,2100
19,667,90563,7,0,2400
19,668,90564,7,0,2700
19,669,90565,7,0,3000
19,670,90566,7,0,3300
19,671,90567,7,0,3600
19,672,90568,7,0,3900
19,673,90569,7,0,4200
19,674,90570,7,0,4500
19,675,90571,7,0,4800
19,676,90572,7,0,5100
19,677,90573,7,0,5400
19,678,90574,7,0,5700
19,679,90575,7,0,6000
19,680,90576,7,0,6300
19,681,90577,7,0,6600
19,682,90578,7,0,6900
19,683,90579,7,0,7200
19,684,90580,7,0,7500
19,685,90581,2,0,0
19,686,90582,3,0,0
19,687,90583,5,1,1
20,688,90584,6,0,300
20,689,90585,6,0,600
20,690,90586,6,0,900
20,691,90587,6,0,1200
20,692,90588,6,0,1500
20,693,90589,6,0,1800
20,694,90590,6,0,2100
20,695,90591,6,0,2400
20,696,90592,6,0,2700
20,697,90593,6,0,3000
20,698,90594,6,0,3300
20,699,90595,6,0,3600
20,700,90596,6,0,3900
20,701,90597,6,0,4200
20,702,90598,6,0,4500
20,703,90599,6,0,4800
20,704,90600,6,0,5100
20,705,90601,6,0,5400
20,706,90602,6,0,5700
20,707,90603,6,0,6000
20,708,90604,6,0,6300
20,709,90605,6,0,6600
20,710,90606,6,0,6900
20,711,90607,6,0,7200
20,712,90608,6,0,7500
20,713,90609,7,0,300
20,714,90610,7,0,600
20,715,90611,7,0,900
20,716,90612,7,0,1200
20,717,90613,7,0,1500
20,718,90614,7,0,1800
20,719,90615,7,0,2100
20,720,90616,7,0,2400
20,721,90617,7,0,2700
20,722,90618,7,0,3000
20,723,90619,7,0,3300
20,724,90620,7,0,3600
20,725,90621,7,0,3900
20,726,90622,7,0,4200
20,727,90623,7,0,4500
20,728,90624,7,0,4800
20,729,90625,7,0,5100
20,730,90626,7,0,5400
20,731,90627,7,0,5700
20,732,90628,7,0,6000
20,733,90629,7,0,6300
20,734,90630,7,0,6600
20,735,90631,7,0,6900
20,736,90632,7,0,7200
20,737,90633,7,0,7500
20,738,90634,2,0,0
20,739,90635,3,0,0
20,740,90636,5,1,1
21,741,90637,6,0,300
21,742,90638,6,0,600
21,743,90639,6,0,900
21,744,90640,6,0,1200
21,745,90641,6,0,1500
21,746,90642,6,0,1800
21,747,90643,6,0,2100
21,748,90644,6,0,2400
21,749,90645,6,0,2700
21,750,90646,6,0,3000
21,751,90647,6,0,3300
21,752,90648,6,0,3600
21,753,90649,6,0,3900
21,754,90650,6,0,4200
21,755,90651,6,0,4500
21,756,90652,6,0,4800
21,757,90653,6,0,5100
21,758,90654,6,0,5400
21,759,90655,6,0,5700
21,760,90656,6,0,6000
21,761,90657,6,0,6300
21,762,90658,6,0,6600
21,763,90659,6,0,6900
21,764,90660,6,0,7200
21,765,90661,6,0,7500
21,766,90662,7,0,300
21,767,90663,7,0,600
21,768,90664,7,0,900
21,769,90665,7,0,1200
21,770,90666,7,0,1500
21,771,90667,7,0,1800
21,772,90668,7,0,2100
21,773,90669,7,0,2400
21,774,90670,7,0,2700
21,775,90671,7,0,3000
21,776,90672,7,0,3300
21,777,90673,7,0,3600
21,778,90674,7,0,3900
21,779,90675,7,0,4200
21,780,90676,7,0,4500
21,781,90677,7,0,4800
21,782,90678,7,0,5100
21,783,90679,7,0,5400
21,784,90680,7,0,5700
21,785,90681,7,0,6000
21,786,90682,7,0,6300
21,787,90683,7,0,6600
21,788,90684,7,0,6900
21,789,90685,7,0,7200
21,790,90686,7,0,7500
21,791,90687,2,0,0
21,792,90688,3,0,0
21,793,90689,5,1,1
