GOODS_ID,ICON_1,ICON_2,ICON_3
94085,hero_rocketraccoon01,hero_punisher01,0
94086,sv_nebula01,hero_elektra01,0
94087,hero_daredevil01,hero_elektra01,0
194001,hero_captainAmerica01,sv_redskull01,sv_modok01
194002,hero_ghostrider01,sv_redskull01,hero_punisher01
194003,hero_ghostrider01,sv_redskull01,sv_modok01
194004,hero_thor01,sv_loki01,0
194005,hero_thor01,sv_loki01,sv_malekith01
194006,hero_blackcat01,hero_elektra01,hero_blackwidow01
194007,hero_spiderman01,hero_daredevil01,0
194008,hero_blackcat01,sv_redskull01,sv_greengoblin01
194009,hero_captainAmerica01,hero_falcon01,hero_wintersoldier01
194010,hero_hawkeye01,hero_blackwidow01,hero_mockingbird01
194011,hero_thor01,sv_loki01,hero_angela01
194012,hero_lukecage01,hero_ironfist01,0
194013,hero_daredevil01,hero_blackwidow01,hero_elektra01
194014,hero_ironman01,hero_hulk01,sv_doctoroctopus01
194015,hero_spiderman01,hero_captainmarvel01,sv_venom01
194016,sv_doctoroctopus01,sv_greengoblin01,sv_venom01
194017,sv_loki01,sv_malekith01,sv_destroyer01
194018,hero_ghostrider01,hero_blade01,hero_punisher01
194019,hero_hawkeye01,sv_bullseye01,hero_punisher01
194020,hero_falcon01,hero_wintersoldier01,hero_warmachine01
194021,hero_blade01,hero_angela01,0
194022,hero_blackwidow01,hero_blackpanther01,hero_blackbolt01
194023,hero_thor01,hero_blackpanther01,hero_blackbolt01
194024,hero_spiderman01,hero_daredevil01,hero_punisher01
194025,sv_kingpin01,hero_elektra01,sv_bullseye01
194026,sv_kingpin01,sv_redskull01,sv_doctoroctopus01
194027,hero_captainAmerica01,hero_sharoncarter01,0
194028,hero_blackwidow01,hero_sharoncarter01,hero_blackcat01
194029,hero_ironfist01,hero_lukecage01,hero_daredevil01
194030,hero_captainAmerica01,hero_captainmarvel01,0
194031,hero_blackwidow01,hero_mockingbird01,hero_sharoncarter01
194032,hero_ironman01,hero_warmachine01,0
194033,sv_ultron_boss01,sv_destroyer01,hero_vision01
194034,hero_ironman01,sv_ultron_boss01,sv_doctoroctopus01
194035,hero_ironman01,hero_hulk01,hero_thor01
194036,hero_captainAmerica01,hero_spiderman01,hero_ironman01
194037,hero_spiderman01,sv_venom01,0
194038,hero_spiderman01,hero_blackbolt01,0
194039,hero_blackcat01,hero_wintersoldier01,hero_elektra01
194040,hero_captainAmerica01,hero_hawkeye01,hero_blackpanther01
194041,sv_ultron_boss01,sv_bullseye01,0
194042,hero_hawkeye01,hero_mockingbird01,hero_falcon01
194043,hero_captainmarvel01,hero_blackbolt01,sv_venom01
194044,hero_daredevil01,hero_ironfist01,hero_elektra01
194045,hero_hulk01,hero_lukecage01,sv_kingpin01
194046,hero_ironman01,hero_hulkbuster01,hero_warmachine01
194047,hero_hulk01,hero_hulkbuster01,hero_thor01
194048,hero_punisher01,hero_daredevil01,0
194049,hero_starlord01,hero_gamora01,hero_drax01
194050,hero_rocketraccoon01,hero_groot01,0
194051,hero_drax01,hero_gamora01,hero_angela01
194052,hero_drax01,sv_destroyer01,0
194053,hero_drax01,hero_ironfist01,sv_kingpin01
194054,hero_starlord01,hero_rocketraccoon01,hero_punisher01
194055,hero_spiderman01,hero_starlord01,hero_rocketraccoon01
194056,hero_groot01,hero_mockingbird01,sv_doctoroctopus01
194057,hero_groot01,hero_mockingbird01,hero_falcon01
194058,sv_yondu01,hero_hawkeye01,0
194059,hero_starlord01,sv_yondu01,0
194060,sv_yondu01,sv_nebula01,sv_ronan01
194061,hero_gamora01,sv_nebula01,0
194062,hero_gamora01,hero_angela01,0
194063,hero_gamora01,hero_hulk01,0
194064,sv_ronan01,sv_nebula01,0
194065,hero_captainAmerica01,hero_starlord01,0
194066,hero_lukecage01,hero_drax01,0
194067,hero_rocketraccoon01,sv_modok01,0
194068,hero_groot01,sv_destroyer01,sv_ronan01
194069,sv_redskull01,sv_loki01,0
194070,sv_malekith01,sv_ronan01,0
194071,hero_ironman01,hero_hulk01,sv_ultron_boss01
194072,hero_thor01,hero_vision01,hero_ironman01
194073,hero_hulkbuster01,hero_hulk01,0
194074,hero_blackwidow01,hero_hulk01,0
194075,hero_thor01,hero_vision01,0
194076,hero_thor01,hero_captainAmerica01,0
194077,hero_vision01,hero_falcon01,hero_warmachine01
194078,hero_hawkeye01,sv_bullseye01,0
194079,hero_daredevil01,hero_blackpanther01,0
194080,hero_blackbolt01,hero_blackpanther01,0
194081,hero_lukecage01,sv_greengoblin01,0
194082,hero_blade01,sv_greengoblin01,0
194083,sv_kingpin01,sv_doctoroctopus01,sv_ultron_boss01
194084,hero_captainAmerica01,hero_wintersoldier01,0
194085,hero_rocketraccoon01,hero_punisher01,0
194086,sv_nebula01,hero_elektra01,0
194087,hero_daredevil01,hero_elektra01,0
194088,hero_starlord01,hero_rocketraccoon01,0
194089,hero_starlord01,sv_ronan01,0
194090,hero_groot01,hero_drax01,0
194091,hero_warmachine01,hero_vision01,0
194092,hero_giantman01,sv_ultron_boss01,hero_vision01
194093,hero_ironman01,hero_giantman01,sv_ultron_boss01
194094,hero_giantman01,hero_wasp01,0
194095,hero_giantman01,hero_wasp01,sv_ultron_boss01
194096,hero_antman01,hero_giantman01,sv_yellowjacket01
194097,hero_antman01,hero_wasp01,hero_spiderman01
194098,hero_ironman01,hero_antman01,0
194099,hero_antman01,hero_blackpanther01,hero_gamora01
194100,hero_antman01,hero_punisher01,hero_wintersoldier01
194101,sv_yellowjacket01,hero_lukecage01,0
194102,sv_yellowjacket01,sv_greengoblin01,0
194103,hero_giantman01,sv_yellowjacket01,0
194104,sv_yellowjacket01,hero_ironman01,0
194105,hero_blackwidow01,hero_wasp01,0
194106,hero_captainAmerica01,hero_wasp01,0
194107,hero_antman01,sv_yellowjacket01,0
194108,hero_hulk01,sv_redhulk01,0
194109,sv_redskull01,sv_redhulk01,0
194110,sv_redhulk01,hero_ghostrider01,0
194111,hero_hulk01,sv_redhulk01,hero_hulkbuster01
194112,sv_redhulk01,hero_punisher01,hero_elektra01
94088,hero_hulk01,sv_redhulk01,hero_hulkbuster01
94089,hero_antman01,hero_giantman01,sv_yellowjacket01
94090,hero_vision01,hero_falcon01,hero_warmachine01
94091,hero_spiderman01,hero_starlord01,hero_rocketraccoon01
94092,sv_loki01,sv_malekith01,sv_destroyer01
94093,hero_thor01,sv_loki01,hero_angela01
94094,hero_spiderman01,hero_captainmarvel01,sv_venom01
94095,sv_ultron_boss01,sv_destroyer01,hero_vision01
94096,hero_ironman01,hero_hulkbuster01,hero_warmachine01
94097,hero_blackcat01,sv_redskull01,sv_greengoblin01
194113,hero_shehulk01,hero_nicominoru01,hero_singularity01
194114,hero_nicominoru01,hero_singularity01,0
194115,hero_nicominoru01,sv_malekith01,sv_loki01
194116,hero_nicominoru01,hero_wintersoldier01,0
194117,hero_shehulk01,hero_hulk01,0
194118,hero_shehulk01,hero_hulk01,sv_redhulk01
194119,hero_shehulk01,hero_daredevil01,0
194120,hero_shehulk01,hero_wasp01,0
194121,hero_shehulk01,hero_gamora01,0
194122,hero_singularity01,hero_vision01,0
194123,hero_singularity01,hero_captainmarvel01,0
194124,hero_spiderman01,hero_blackcat01,0
194125,hero_captainAmerica01,hero_blackwidow01,hero_ironman01
194126,hero_nicominoru01,hero_angela01,0
194127,hero_groot01,hero_thor01,0
194128,sv_kingpin01,hero_ironman01,hero_warmachine01
194129,hero_captainAmerica01,sv_bullseye01,hero_ironman01
90017,hero_shehulk01,hero_nicominoru01,hero_singularity01
90018,sv_kingpin01,hero_ironman01,hero_warmachine01
90019,hero_thor01,hero_blackpanther01,hero_blackbolt01
90020,hero_groot01,sv_destroyer01,sv_ronan01
90021,hero_nicominoru01,sv_malekith01,sv_loki01
90022,hero_thor01,hero_vision01,hero_ironman01
90023,hero_falcon01,hero_wintersoldier01,hero_warmachine01
90024,hero_antman01,hero_blackpanther01,hero_gamora01
90025,hero_blackwidow01,hero_sharoncarter01,hero_blackcat01
90026,hero_shehulk01,hero_hulk01,sv_redhulk01
90027,hero_captainAmerica01,hero_spiderman01,hero_ironman01
90028,hero_thor01,sv_loki01,hero_angela01
90029,hero_hulk01,sv_redhulk01,hero_hulkbuster01
90030,hero_captainAmerica01,sv_bullseye01,hero_ironman01
90031,hero_spiderman01,hero_captainmarvel01,sv_venom01
90104,hero_warmachine01,hero_vision01,0
90105,hero_giantman01,sv_yellowjacket01,0
90106,hero_singularity01,hero_captainmarvel01,0
90107,hero_spiderman01,sv_venom01,0
90108,hero_shehulk01,hero_hulk01,0
194130,hero_daisyjohnson01,hero_deathlok01,0
194131,hero_daisyjohnson01,hero_lincoln01,hero_blackbolt01
194132,hero_daisyjohnson01,hero_lincoln01,0
194133,hero_daisyjohnson01,hero_blackwidow01,0
194134,hero_daisyjohnson01,hero_captainAmerica01,hero_daredevil01
194135,hero_daisyjohnson01,hero_blackwidow01,hero_spiderman01
194136,hero_deathlok01,hero_rocketraccoon01,0
194137,hero_deathlok01,hero_wintersoldier01,0
194138,hero_deathlok01,sv_yellowjacket01,0
194139,hero_philcoulson01,hero_captainAmerica01,0
194140,hero_philcoulson01,hero_deathlok01,0
194141,hero_philcoulson01,hero_sif01,0
194142,hero_philcoulson01,hero_thor01,0
194143,hero_philcoulson01,sv_loki01,0
194144,hero_philcoulson01,hero_daisyjohnson01,hero_mockingbird01
194145,hero_philcoulson01,hero_ironman01,0
194146,hero_lincoln01,hero_thor01,0
194147,hero_lincoln01,hero_deathlok01,0
194148,hero_sif01,hero_thor01,0
194149,hero_sif01,hero_angela01,0
194150,hero_sif01,sv_loki01,0
194151,hero_sif01,hero_thor01,sv_loki01
