SOUR,DEST,DEST_ALPHA,DEST_PATH,X,Y,W,H
cc_0011,img_2,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0012,img_2,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0013,img_3,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0014,img_3,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0015,img_3,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0016,img_3,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0017,img_3,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0018,img_3,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0019,img_4,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0020,img_4,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0021,img_4,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0022,img_4,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0023,img_4,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0024,img_4,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0025,img_5,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0026,img_5,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0027,img_5,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0028,img_5,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0029,img_5,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0030,img_5,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0031,img_6,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0032,img_6,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0033,img_6,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0034,img_6,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0035,img_6,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0036,img_6,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0037,img_7,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0038,img_7,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0039,img_7,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0040,img_7,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0041,img_7,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0042,img_7,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0043,img_8,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0044,img_8,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0045,img_8,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0046,img_8,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0047,img_8,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0048,img_8,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0049,img_9,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0050,img_9,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0051,img_9,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0052,img_9,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0053,img_9,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0054,img_9,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0055,img_10,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0056,img_10,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0057,img_10,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0058,img_10,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0059,img_10,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0060,img_10,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0061,img_11,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0062,img_11,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0063,img_11,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0064,img_11,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0065,img_11,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0066,img_11,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0067,img_12,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0068,img_12,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0069,img_12,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0070,img_12,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0071,img_12,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0072,img_12,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0073,img_13,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0074,img_13,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0075,img_13,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0076,img_13,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0077,img_13,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0078,img_13,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0079,img_14,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0080,img_14,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0081,img_14,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0082,img_14,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0083,img_14,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0084,img_14,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0085,img_15,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0086,img_15,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0087,img_15,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0088,img_15,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0089,img_15,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0090,img_15,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0091,img_16,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0092,img_16,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0093,img_16,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0094,img_16,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0095,img_16,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0096,img_16,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0097,img_17,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0098,img_17,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0099,img_17,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0100,img_17,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0101,img_17,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0102,img_17,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0103,img_18,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0104,img_18,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0105,img_18,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0106,img_18,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0107,img_18,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0108,img_18,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0109,img_19,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0110,img_19,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0111,img_19,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0112,img_19,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0113,img_19,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_0114,img_19,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
cc_0115,img_20,img_alpha,ui/comicscard/,0,0,0.3291016,0.5
cc_0116,img_20,img_alpha,ui/comicscard/,0,0.5,0.3291016,0.5
cc_0117,img_20,img_alpha,ui/comicscard/,0.3291016,0,0.3291016,0.5
cc_0118,img_20,img_alpha,ui/comicscard/,0.3291016,0.5,0.3291016,0.5
cc_0119,img_20,img_alpha,ui/comicscard/,0.6582031,0,0.3291016,0.5
cc_growth,img_20,img_alpha,ui/comicscard/,0.6582031,0.5,0.3291016,0.5
""
